"","probeids","t_stat","p.values","p_adjusted"
"736","214505_s_at",10.4175348320043,7.44080746896601e-16,2.14133011935845e-15
"737","214511_x_at",16.9407803287329,6.06176278490553e-30,5.98745730560669e-29
"738","214587_at",13.6342821627739,1.42181818970767e-21,6.23725973765742e-21
"739","214701_s_at",11.1915053849457,3.69651113597112e-18,1.26324967615441e-17
"740","214702_at",9.27272874308207,1.92740988633314e-13,4.65436046683918e-13
"741","214761_at",13.3185953184886,1.051735735351e-24,5.96373115119402e-24
"742","214768_x_at",1.64177099271999,0.103415942197337,0.123020534321445
"743","214770_at",13.9691874061461,5.53922328961207e-23,2.753425602726e-22
"744","214777_at",1.44091508511562,0.152353838067452,0.176975512959991
"745","214844_s_at",19.8233777912828,2.44567005267686e-36,5.76049361638197e-35
"746","214920_at",9.7364374387249,1.6349479052968e-14,4.2139818905882e-14
"747","214927_at",11.2873164728253,1.39630228655364e-17,4.54838042705026e-17
"748","214973_x_at",1.50088118265194,0.136083353990911,0.158919614767417
"749","214974_x_at",2.10604511805518,0.037449140203493,0.0465001083954159
"750","215014_at",2.33122886716398,0.0214995239563582,0.0272933426013138
"751","215028_at",-0.715034264331655,0.475850663402564,0.510530739782288
"752","215033_at",0.92133523565273,0.358870238994042,0.395843181484063
"753","215049_x_at",16.3406000233928,2.11478808668568e-31,2.41622429904163e-30
"754","215077_at",7.82115463578773,6.70375170727389e-11,1.37211816361448e-10
"755","215078_at",3.87607169568137,0.000212845085162752,0.000308877559605851
"756","215101_s_at",1.97551539575286,0.0507432176704618,0.0621502930027816
"757","215125_s_at",-7.96766193595641,1.26209409707544e-12,2.87539592652157e-12
"758","215175_at",4.07661755767248,9.7074688269045e-05,0.000144152616624547
"759","215199_at",9.24442866109727,9.29537972223305e-14,2.29166285905617e-13
"760","215268_at",5.85298477887279,7.8417804588571e-08,1.37052121946464e-07
"761","215294_s_at",10.7146946598492,1.04674831499922e-18,3.69256145222075e-18
"762","215306_at",12.9763483507169,5.93664582749195e-20,2.34252700048716e-19
"763","215440_s_at",13.9316184634913,9.55230013297736e-27,6.47104933787095e-26
"764","215446_s_at",14.9620947913982,4.20555055544394e-29,3.59703793317579e-28
"765","215578_at",-3.31550858270163,0.00118558845443601,0.00164712878742425
"766","215591_at",-3.14702211430225,0.00206286719087615,0.00282238576338819
"767","215617_at",11.2397519223584,1.16385314603243e-17,3.80739138157189e-17
"768","215646_s_at",18.5358037660562,1.51025848217408e-38,7.00668404911672e-37
"769","215657_at",-4.48834761941323,1.60212216041559e-05,2.4726300681414e-05
"770","215702_s_at",-4.62228675378263,9.30076114378617e-06,1.4634599497571e-05
"771","215703_at",-5.57202557614784,1.39026230197875e-07,2.40507523653048e-07
"772","215870_s_at",10.4990613967403,7.54056032495768e-16,2.16596582692499e-15
"773","215894_at",-2.02202246108991,0.0453953840642849,0.0558684348894053
"774","216005_at",6.51998558291603,1.12026804477606e-08,2.04182187684779e-08
"775","216039_at",-0.566785973035016,0.571911473727205,0.598493825205982
"776","216248_s_at",-0.68020432092285,0.497760827149736,0.531430841259586
"777","216255_s_at",-1.06762858596254,0.287890240452423,0.322664683845285
